employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-56164955,Kendra,Galloway,Female,Michigan,Detroit,2021-11-29,Sales,Sales Representative,Bachelor,73139,Needs Improvement,No,1968-12-18,2022-01-02
00-15831819,Jesse,Garcia,Female,North Carolina,Raleigh,2022-04-18,Marketing,Marketing Coordinator,Bachelor,56626,Needs Improvement,No,1993-10-23,2017-10-20
00-81971316,Shawn,Flowers,Female,New York,Buffalo,2016-03-04,Marketing,SEO Specialist,Bachelor,72863,Excellent,No,2000-03-16,2017-08-14
00-60806024,Mitchell,Clark,Male,New York,Rochester,2016-04-13,IT,System Administrator,Bachelor,73577,Good,No,1986-06-03,2016-03-23
00-49349722,Jacqueline,Sutton,Male,New York,Rochester,2023-01-28,IT,System Administrator,Master,78071,Good,No,1976-03-17,2015-06-19
00-93016315,Chelsea,Jackson,Male,New York,Rochester,2023-10-11,Operations,Inventory Specialist,High School,64938,Good,No,1979-03-29,2018-12-08
00-58537831,John,Ford,Male,New York,Buffalo,2020-04-14,Operations,Logistics Coordinator,Bachelor,59215,Satisfactory,No,1998-04-03,2024-08-27
00-19335534,Veronica,Bowman,Male,New York,Rochester,2015-08-05,Operations,Inventory Specialist,Bachelor,68573,Excellent,Yes,1982-01-03,2023-09-12
00-40587988,Jeffrey,Nguyen,Male,New York,Rochester,2023-10-26,Operations,Logistics Coordinator,Bachelor,66737,Good,No,1982-09-06,2016-04-19
00-20709497,Kimberly,Perez,Female,New York,New York City,2023-01-13,Customer Service,Customer Service Representative,Bachelor,56393,Good,No,1995-08-08,2022-12-29
00-23556182,Linda,Morales,Male,New York,Buffalo,2018-01-26,Operations,Logistics Coordinator,Bachelor,64869,Good,No,1979-01-07,2020-03-11
00-70855700,Jason,Hahn,Male,Illinois,Aurora,2021-12-07,Customer Service,Customer Service Representative,High School,57067,Satisfactory,No,1997-10-14,2024-10-12
00-58966946,Jennifer,Lewis,Female,Michigan,Warren,2017-07-13,Operations,Inventory Specialist,Bachelor,57815,Satisfactory,No,1978-06-07,2023-05-05
00-57683626,Randall,Rocha,Male,New York,Buffalo,2017-06-28,Sales,Sales Specialist,PhD,79617,Needs Improvement,No,1975-06-14,2017-03-18
00-45833156,Douglas,Taylor,Male,Michigan,Grand Rapids,2022-10-17,Customer Service,Customer Service Representative,High School,66707,Needs Improvement,No,1975-04-05,2015-12-12
00-96977837,Anna,Baker,Female,New York,Rochester,2016-08-15,IT,Software Developer,Bachelor,88673,Good,Yes,1985-01-28,2016-03-09
00-95225343,Ross,Silva,Male,New York,Rochester,2017-05-21,IT,IT Support Specialist,High School,64024,Good,No,1979-08-18,2020-07-22
00-42857966,Jeffrey,Bright,Male,Pennsylvania,Pittsburgh,2017-07-17,Operations,Inventory Specialist,Bachelor,66845,Good,No,1989-02-07,2015-10-08
00-60929647,Trevor,Campos,Female,New York,Buffalo,2017-12-01,Operations,Operations Analyst,Master,80201,Good,No,2004-11-07,2018-03-30
00-95899313,Daniel,Burton,Male,New York,Buffalo,2022-11-04,IT,Software Developer,Bachelor,99224,Satisfactory,No,1978-03-12,2015-01-23
00-39476249,Erin,Carlson,Male,New York,Buffalo,2022-05-30,Finance,Financial Analyst,Master,64547,Good,No,2005-12-08,2019-10-11
00-17507864,Patrick,Ferrell,Female,New York,Rochester,2017-07-25,Sales,Sales Specialist,PhD,71758,Good,No,1987-02-06,2022-11-07
00-14308421,John,Tran,Male,New York,New York City,2023-01-05,Finance,Accountant,Bachelor,88921,Good,No,1984-10-03,2022-09-23
00-63843426,Erin,Wilson,Male,Pennsylvania,Philadelphia,2017-12-10,Operations,Logistics Coordinator,Bachelor,67339,Good,No,1965-05-04,2023-09-17
00-38317637,Amanda,Adams,Male,New York,Rochester,2024-09-05,Finance,Accountant,Bachelor,90931,Satisfactory,No,1983-07-30,2024-08-12
00-86125617,Matthew,Carter,Female,New York,New York City,2023-03-03,Sales,Sales Consultant,PhD,111881,Satisfactory,No,1990-08-15,2020-12-16
00-52235350,Shawn,Mckay,Male,North Carolina,Charlotte,2017-12-07,Sales,Sales Representative,Bachelor,72420,Satisfactory,Yes,1973-01-05,2018-12-21
00-77005685,Jennifer,Stanton,Female,North Carolina,Greensboro,2019-10-23,Customer Service,Customer Service Representative,High School,57886,Satisfactory,No,2003-08-28,2020-12-07
00-96282117,Guy,Gaines,Male,New York,Buffalo,2019-12-05,Operations,Logistics Coordinator,Bachelor,66810,Satisfactory,Yes,1985-07-04,2023-07-02
00-45551614,Colleen,Skinner,Male,Illinois,Naperville,2017-07-17,Operations,Logistics Coordinator,Bachelor,61250,Excellent,No,1983-08-20,2017-05-02
00-85345555,Chelsea,Hernandez,Female,Michigan,Warren,2020-10-23,Operations,Operations Analyst,Bachelor,74180,Satisfactory,No,1992-07-07,2023-07-21
00-88461803,Evan,Ashley,Male,New York,Rochester,2019-12-25,Operations,Logistics Coordinator,Bachelor,65543,Good,No,1976-06-04,2015-01-21
00-88320463,Alyssa,Smith,Male,Michigan,Detroit,2019-05-06,Operations,Operations Analyst,Bachelor,94911,Excellent,No,1973-01-10,2018-01-09
00-39436733,Tracy,Rodriguez,Male,New York,Rochester,2024-05-20,IT,IT Support Specialist,Bachelor,61218,Good,No,1979-07-27,2019-06-04
00-28566572,Natasha,Decker,Male,New York,Rochester,2020-04-29,Sales,Sales Specialist,PhD,54713,Good,No,1978-04-24,2018-07-18
00-22201654,John,Allen,Male,New York,Buffalo,2022-08-09,Operations,Inventory Specialist,High School,60278,Satisfactory,No,1976-10-03,2016-10-20
00-24716857,Stacey,Miller,Female,New York,Buffalo,2017-07-08,Sales,Sales Specialist,Master,88536,Good,No,1961-03-10,2024-06-13
00-31472420,Lisa,Spence,Female,New York,Buffalo,2023-07-26,Sales,Sales Consultant,Bachelor,90831,Good,Yes,2003-05-14,2016-08-23
00-66661351,Katie,Anderson,Male,New York,Buffalo,2020-07-03,Customer Service,Customer Service Representative,Bachelor,60653,Satisfactory,No,1991-09-14,2016-06-26
00-61642594,Stacey,Martin,Female,North Carolina,Charlotte,2018-07-24,IT,Software Developer,Bachelor,74460,Satisfactory,No,1993-12-14,2017-04-18
00-72820592,Monique,Henderson,Female,New York,Buffalo,2020-03-23,Operations,Inventory Specialist,High School,57225,Good,No,1987-03-13,2024-02-17
00-84252722,Sarah,Campos,Female,New York,New York City,2023-09-25,Sales,Sales Specialist,PhD,70249,Good,No,1965-02-25,2015-03-18
00-11540956,James,Collins,Male,New York,New York City,2022-09-18,Operations,Operations Analyst,Bachelor,81923,Satisfactory,No,1984-02-02,2024-03-26
00-25374874,Debra,Kim,Male,New York,New York City,2022-07-21,Operations,Logistics Coordinator,Bachelor,59517,Needs Improvement,Yes,1986-10-16,2024-06-27
00-82070937,Shannon,Wright,Female,New York,Buffalo,2022-01-25,Operations,Inventory Specialist,Bachelor,57910,Good,No,1998-08-23,2015-02-17
00-96028436,Matthew,Chapman,Female,New York,New York City,2018-03-31,Operations,Inventory Specialist,High School,58323,Satisfactory,No,1983-06-08,2019-04-12
00-49392920,Brianna,Smith,Male,New York,Buffalo,2019-10-02,Customer Service,Help Desk Technician,Bachelor,82389,Good,Yes,1973-10-07,2022-05-22
00-70897765,Crystal,Perez,Female,New York,New York City,2015-12-18,Sales,Sales Consultant,Bachelor,70260,Needs Improvement,No,1990-03-26,2023-04-09
00-45351479,Anthony,Rivera,Female,New York,Rochester,2024-07-18,Sales,Sales Consultant,Bachelor,91871,Satisfactory,No,1994-10-24,2015-11-10
00-33978249,John,Caldwell,Female,New York,Buffalo,2020-03-24,Operations,Operations Analyst,Bachelor,83385,Needs Improvement,No,1967-07-08,2018-01-03
00-24282218,Amber,Cummings,Male,New York,New York City,2023-12-09,Sales,Sales Representative,Bachelor,70041,Good,No,1975-03-30,2024-07-31
00-50056581,Ashley,Kennedy,Male,New York,Rochester,2023-11-01,Sales,Sales Consultant,Master,93347,Satisfactory,Yes,1966-12-11,2022-02-12
00-78137358,Thomas,Russell,Male,New York,Rochester,2021-02-06,Operations,Logistics Coordinator,Bachelor,60176,Good,Yes,1981-09-23,2018-12-18
00-30513739,Collin,Jordan,Male,New York,Rochester,2018-06-14,Sales,Sales Representative,Bachelor,73929,Good,No,1974-06-02,2024-09-12
00-31682744,Robert,Shields,Female,New York,New York City,2020-01-22,Operations,Inventory Specialist,Bachelor,64963,Excellent,No,1979-04-17,2016-11-07
00-81182864,Emily,Joyce,Male,New York,Rochester,2024-02-08,Customer Service,Support Specialist,High School,57563,Satisfactory,No,1990-05-18,2016-03-15
00-90388981,Bruce,Chandler,Female,Ohio,Columbus,2018-11-07,Operations,Operations Analyst,Master,89583,Good,No,1994-10-18,2021-01-25
00-12614124,Michelle,Wright,Male,Michigan,Detroit,2016-03-14,Sales,Sales Specialist,Master,59616,Good,No,1990-04-10,2017-03-19
00-58718453,Amanda,Taylor,Female,Florida,Orlando,2023-03-13,IT,Software Developer,Master,87005,Good,No,1986-03-29,2016-04-16
00-51273847,Joshua,Wright,Female,New York,Rochester,2017-12-25,IT,System Administrator,Bachelor,69686,Satisfactory,Yes,1976-06-25,2017-03-02
00-42329237,Charles,Morton,Female,New York,Buffalo,2023-11-29,IT,System Administrator,Bachelor,92818,Good,Yes,1998-06-01,2022-07-29
00-20570592,Andrea,Williams,Male,Pennsylvania,Philadelphia,2016-07-28,Sales,Sales Consultant,Master,76318,Good,No,1966-01-17,2022-12-05
00-75228535,Mary,Novak,Female,New York,Rochester,2023-12-26,Sales,Sales Specialist,Bachelor,64953,Good,No,1987-03-01,2017-01-28
00-81498611,Karen,Young,Female,Pennsylvania,Pittsburgh,2022-06-07,IT,IT Support Specialist,Bachelor,54318,Satisfactory,No,1974-03-12,2016-11-06
00-27232410,Todd,Lewis,Male,New York,New York City,2022-06-05,Sales,Sales Representative,Bachelor,77465,Satisfactory,No,1993-11-13,2016-02-29
00-83793389,Rachel,Martin,Female,New York,New York City,2017-01-01,Customer Service,Customer Service Representative,High School,51916,Good,No,2005-05-14,2016-07-14
00-80823176,Tricia,Baker,Male,New York,Buffalo,2023-11-01,Operations,Logistics Coordinator,Bachelor,69110,Excellent,No,1974-03-15,2021-02-23
00-66792612,Kristen,Mitchell,Female,New York,New York City,2024-09-27,HR,Recruiter,High School,60733,Satisfactory,Yes,1989-02-02,2017-04-03
00-82383095,Susan,Cowan,Male,New York,New York City,2022-08-04,IT,IT Support Specialist,Bachelor,74721,Good,No,1962-06-21,2015-03-03
00-36998038,Dorothy,Tucker,Female,Michigan,Grand Rapids,2022-03-15,Sales,Sales Specialist,Master,65451,Satisfactory,Yes,1999-05-06,2024-01-17
00-63551839,Kenneth,Novak,Male,New York,New York City,2024-08-12,IT,Software Developer,Bachelor,106152,Good,Yes,1977-06-19,2022-03-11
00-97225156,Jill,Brown,Male,New York,Buffalo,2018-05-02,Operations,Inventory Specialist,High School,61970,Good,No,1969-03-02,2020-12-04
00-79467853,Brian,Silva,Female,New York,Rochester,2019-07-15,Marketing,SEO Specialist,High School,64512,Excellent,Yes,1995-07-20,2023-08-13
00-43273328,Samantha,Schmidt,Male,New York,New York City,2017-01-23,Operations,Operations Analyst,Bachelor,71247,Good,Yes,2000-09-29,2018-04-12
00-55377076,Susan,Miller,Male,New York,Rochester,2015-03-14,Sales,Sales Representative,Bachelor,61028,Good,No,1974-10-26,2024-04-19
00-84346088,Casey,Jones,Male,New York,Buffalo,2017-12-01,Sales,Sales Consultant,Bachelor,105680,Good,No,1966-07-29,2015-05-31
00-39557077,Joe,Wilson,Male,New York,Rochester,2015-12-12,Customer Service,Help Desk Technician,High School,75224,Good,Yes,1974-10-26,2024-04-08
00-94705205,Ashley,Riley,Male,New York,Buffalo,2016-01-16,Operations,Inventory Specialist,High School,58319,Good,No,1981-04-24,2021-07-14
00-19046318,Christine,Barnes,Male,New York,Buffalo,2023-08-15,Operations,Inventory Specialist,Bachelor,65349,Satisfactory,Yes,1984-07-10,2020-04-16
00-54349361,Annette,Stewart,Female,New York,Rochester,2016-04-11,IT,Software Developer,Bachelor,84639,Satisfactory,No,1985-03-08,2023-01-07
00-41944441,James,Moran,Male,New York,New York City,2017-04-03,Customer Service,Support Specialist,Bachelor,66291,Needs Improvement,No,1978-07-18,2017-08-22
00-75151231,Joseph,Anderson,Female,New York,Buffalo,2017-09-08,Customer Service,Help Desk Technician,High School,62638,Excellent,No,2004-09-10,2019-09-24
00-27758595,Kevin,Stewart,Female,New York,Rochester,2022-10-19,IT,System Administrator,Master,84488,Good,No,2003-05-20,2016-03-17
00-86644106,Shari,Smith,Male,New York,Buffalo,2020-08-29,Operations,Operations Manager,Bachelor,110102,Satisfactory,No,1961-12-24,2019-04-01
00-42614537,Yolanda,Ferrell,Female,Ohio,Cleveland,2023-01-29,Sales,Sales Representative,Bachelor,56001,Satisfactory,No,1981-06-24,2016-02-16
00-64634663,Amanda,Wagner,Female,New York,New York City,2017-02-21,Operations,Logistics Coordinator,Bachelor,57943,Good,No,1983-06-21,2019-01-12
00-23009833,Sarah,Ibarra,Male,Michigan,Detroit,2022-12-08,Operations,Inventory Specialist,High School,58184,Needs Improvement,Yes,1985-04-16,2023-12-16
00-57553014,John,Mitchell,Female,New York,New York City,2019-06-20,Marketing,SEO Specialist,Bachelor,67454,Good,No,1987-06-16,2021-11-17
00-72682989,Martha,Warner,Male,Michigan,Detroit,2023-08-26,Sales,Sales Specialist,Master,81698,Good,Yes,1984-04-19,2023-03-13
00-17270733,Tonya,Roman,Male,New York,Buffalo,2022-07-25,Operations,Logistics Coordinator,Bachelor,63099,Good,No,1989-12-02,2020-01-05
00-96728778,Alan,Montoya,Male,New York,New York City,2016-04-26,IT,Software Developer,Bachelor,109319,Good,No,1966-10-23,2024-12-06
00-64038913,Sarah,Garcia,Male,New York,Rochester,2022-12-08,Customer Service,Help Desk Technician,Bachelor,99553,Good,No,1971-08-22,2020-03-09
00-24665841,Dennis,Wilson,Male,New York,Rochester,2017-02-11,Customer Service,Support Specialist,High School,64758,Satisfactory,Yes,1982-11-25,2017-11-02
00-35529407,Julia,Moore,Female,Virginia,Richmond,2020-04-19,Sales,Sales Consultant,PhD,89563,Needs Improvement,No,1985-06-12,2019-07-12
00-28814949,Cassandra,Robbins,Male,New York,New York City,2019-03-21,IT,Software Developer,Bachelor,86623,Satisfactory,Yes,2005-01-22,2017-01-09
00-47385696,Grace,Farrell,Female,Ohio,Cleveland,2019-07-16,Operations,Inventory Specialist,High School,57527,Excellent,No,1977-03-12,2024-04-09
00-20117988,Tracy,Whitehead,Male,Pennsylvania,Allentown,2019-11-25,Sales,Sales Representative,Bachelor,76926,Satisfactory,No,1978-02-12,2020-06-28
00-83863413,Brent,Walters,Male,New York,Buffalo,2016-11-18,Operations,Operations Analyst,Bachelor,73592,Good,No,1985-04-05,2021-02-03
00-97529405,Joshua,Smith,Female,New York,Rochester,2024-10-26,IT,IT Support Specialist,High School,56408,Good,No,1982-10-14,2015-04-20
00-11980765,David,Whitney,Male,New York,New York City,2024-03-03,Marketing,Marketing Manager,PhD,92949,Good,No,1983-07-02,2024-11-01
00-41726318,Joyce,Arnold,Male,Virginia,Virginia Beach,2017-06-16,IT,Software Developer,Bachelor,107980,Excellent,No,1976-05-30,2020-03-06
00-75181648,Ann,Rodriguez,Female,Michigan,Grand Rapids,2019-12-09,Operations,Logistics Coordinator,Bachelor,62430,Satisfactory,No,1978-08-18,2024-09-11
00-63826716,Hannah,Hernandez,Male,New York,Buffalo,2023-01-14,Marketing,Marketing Coordinator,Bachelor,66357,Excellent,No,1977-11-17,2015-02-19
00-32097220,Mary,Aguilar,Male,Michigan,Detroit,2018-02-27,Sales,Sales Representative,Bachelor,73227,Excellent,No,1998-12-22,2018-08-21
00-62401521,Russell,Williams,Male,New York,New York City,2017-05-22,Sales,Sales Specialist,Master,78855,Satisfactory,Yes,1988-03-07,2016-03-13
00-71070189,Rachel,Flynn,Male,New York,New York City,2017-12-01,Operations,Logistics Coordinator,Bachelor,70393,Needs Improvement,No,2000-02-08,2019-04-08
00-84593961,Bill,Howard,Male,New York,Rochester,2022-09-22,Sales,Sales Specialist,Bachelor,62126,Good,No,2005-11-12,2021-07-03
00-75319931,John,Garcia,Male,New York,Rochester,2017-10-30,Sales,Sales Specialist,PhD,80932,Satisfactory,No,1981-08-11,2023-06-17
00-49823450,Anita,Baxter,Male,New York,New York City,2017-08-30,Sales,Sales Specialist,Master,56386,Satisfactory,No,2000-09-24,2023-07-07
00-17849494,Kara,Frost,Female,Ohio,Cleveland,2020-04-01,Customer Service,Support Specialist,Bachelor,56665,Satisfactory,Yes,1996-09-08,2021-06-07
00-82772208,Michelle,Cherry,Female,North Carolina,Greensboro,2016-11-10,Operations,Operations Analyst,Master,87485,Satisfactory,No,1973-09-30,2017-04-19
00-52091325,Gregory,Gutierrez,Male,New York,New York City,2016-03-10,Sales,Sales Manager,PhD,110892,Satisfactory,No,1994-11-11,2015-05-13
00-88406989,Jill,Cook,Female,New York,Rochester,2019-12-28,Sales,Sales Representative,Bachelor,64299,Needs Improvement,No,1982-10-07,2016-03-20
00-81286543,Robert,Santiago,Female,Virginia,Norfolk,2017-10-13,Operations,Logistics Coordinator,Bachelor,57618,Needs Improvement,Yes,1990-05-29,2015-03-14
00-78159587,Lisa,Adams,Female,New York,Buffalo,2016-11-01,IT,System Administrator,Master,93107,Good,No,1981-09-01,2022-01-28
00-34941004,Jacqueline,Reyes,Male,New York,Buffalo,2016-01-16,Marketing,SEO Specialist,Bachelor,73023,Good,No,2005-09-03,2021-03-05
00-19121552,Michele,Walker,Male,New York,Rochester,2022-11-14,IT,IT Support Specialist,High School,58209,Good,No,1986-02-01,2020-11-10
00-41568532,Samantha,Bailey,Female,New York,Rochester,2019-11-15,Customer Service,Help Desk Technician,High School,57275,Needs Improvement,Yes,1984-01-30,2017-09-03
00-86460539,Laura,Perez,Female,Michigan,Detroit,2017-01-10,Operations,Logistics Coordinator,Bachelor,62680,Good,No,1973-06-30,2018-10-13
00-89795010,Donna,Ross,Female,New York,Rochester,2015-04-19,Operations,Operations Analyst,Master,90980,Satisfactory,Yes,1973-07-26,2022-05-23
00-21003626,Michelle,Rasmussen,Male,New York,Buffalo,2019-04-19,Customer Service,Help Desk Technician,High School,78311,Satisfactory,No,1965-07-12,2015-03-27
00-88339168,Michael,Hicks,Female,New York,Rochester,2020-09-20,Sales,Sales Specialist,Master,69581,Good,No,2002-10-03,2024-11-13
00-52462441,Tina,Herrera,Female,New York,Rochester,2024-12-30,Operations,Inventory Specialist,Bachelor,57007,Good,No,1967-05-31,2015-08-15
00-37415205,Anthony,Wiley,Male,New York,Buffalo,2022-04-12,IT,Software Developer,Master,80880,Satisfactory,Yes,1977-08-26,2016-08-08
00-52169044,Gregory,Estes,Female,New York,Buffalo,2017-04-14,Sales,Sales Consultant,Master,94892,Good,No,1992-09-19,2021-10-30
00-63121477,Benjamin,Carlson,Female,Ohio,Columbus,2017-05-15,Operations,Operations Analyst,Bachelor,73138,Good,Yes,1999-10-01,2015-07-31
00-96637649,Jessica,Edwards,Female,New York,Buffalo,2017-08-24,Sales,Sales Representative,Bachelor,57265,Good,No,1994-05-07,2018-03-08
00-52436584,Tracey,Wilson,Male,New York,Rochester,2024-12-15,HR,Recruiter,Bachelor,75539,Satisfactory,No,1987-03-05,2017-05-25
00-19736572,Barbara,Scott,Female,Ohio,Columbus,2015-10-03,Marketing,Marketing Coordinator,Bachelor,66910,Needs Improvement,No,2001-02-22,2023-11-29
00-93370583,Ryan,Meyer,Male,Michigan,Warren,2024-11-09,Sales,Sales Specialist,PhD,64231,Excellent,No,1976-07-03,2016-06-24
00-23419256,Amanda,Ball,Male,New York,Buffalo,2016-10-15,HR,HR Assistant,Bachelor,67854,Good,Yes,1993-03-24,2020-05-13
00-38609087,Jillian,Gonzalez,Male,Michigan,Detroit,2020-06-16,Operations,Logistics Coordinator,Bachelor,61613,Satisfactory,Yes,1993-09-28,2017-12-17
00-27778019,Chad,Beck,Female,New York,New York City,2024-05-08,Operations,Operations Manager,Master,117182,Good,No,1975-10-13,2015-04-24
00-19233013,Cindy,Alvarado,Male,Florida,Tampa,2023-02-18,Marketing,Content Creator,High School,66330,Good,Yes,1988-11-09,2019-01-17
00-59597086,Jennifer,Evans,Female,New York,Rochester,2017-05-01,Operations,Logistics Coordinator,Bachelor,52552,Satisfactory,Yes,1994-11-21,2018-01-31
00-68812137,Elizabeth,Nguyen,Female,New York,New York City,2023-09-28,Operations,Operations Manager,Master,98773,Good,No,1965-06-23,2016-01-09
00-50603163,Kenneth,Martinez,Female,Pennsylvania,Philadelphia,2021-06-13,Finance,Accounts Payable Specialist,Bachelor,60452,Good,No,1997-07-29,2024-07-04
00-97775215,Elizabeth,Gray,Female,New York,Buffalo,2020-10-17,Sales,Sales Representative,Bachelor,62197,Needs Improvement,Yes,1998-08-05,2021-09-12
00-99639081,Raven,Gilbert,Female,Michigan,Detroit,2023-04-27,Operations,Logistics Coordinator,Bachelor,53071,Excellent,No,1985-06-26,2024-11-23
00-50181935,Richard,Bass,Female,New York,New York City,2024-04-28,Customer Service,Support Specialist,High School,63128,Good,No,1983-02-10,2022-07-08
00-23903144,Justin,Jordan,Male,New York,New York City,2024-08-13,Operations,Logistics Coordinator,Bachelor,68097,Satisfactory,No,1988-10-25,2021-06-07
00-28024248,Catherine,Morris,Female,New York,New York City,2017-06-21,Operations,Operations Analyst,Bachelor,52909,Satisfactory,No,2000-02-02,2024-02-03
00-24366125,Scott,Lewis,Male,New York,New York City,2022-07-03,Sales,Sales Consultant,Bachelor,88977,Satisfactory,No,1972-07-16,2020-08-14
00-30863865,Laura,Moyer,Male,New York,New York City,2017-10-13,Marketing,Content Creator,High School,60333,Good,No,2000-05-01,2024-12-12
00-91178885,Gene,Miller,Female,New York,Rochester,2017-07-20,Sales,Sales Specialist,PhD,78742,Good,No,1991-07-02,2020-07-09
00-56020613,Elizabeth,Harvey,Female,North Carolina,Greensboro,2017-02-06,Sales,Sales Specialist,Master,64061,Good,No,2004-07-01,2019-08-06
00-95125977,Loretta,Potter,Female,New York,Buffalo,2023-09-19,Sales,Sales Specialist,PhD,80935,Good,No,1962-12-10,2017-05-07
00-77834855,Lance,Drake,Male,New York,Buffalo,2019-02-27,IT,Software Developer,Bachelor,110292,Good,No,1974-08-26,2019-09-03
00-16818112,Andrew,Sanchez,Female,New York,New York City,2016-07-03,Customer Service,Support Specialist,Bachelor,62525,Excellent,No,1988-06-05,2016-03-11
00-66851377,Cheryl,Mack,Female,New York,Buffalo,2023-06-26,Customer Service,Customer Service Representative,Bachelor,59139,Good,No,1999-01-21,2019-08-25
00-15917225,Robert,Soto,Female,New York,Rochester,2015-03-17,Operations,Operations Manager,Bachelor,90130,Good,No,1976-04-07,2021-01-02
00-27558317,Jennifer,Cruz,Female,Illinois,Aurora,2021-06-05,Customer Service,Help Desk Technician,High School,81595,Good,No,1998-01-07,2016-01-23
00-45159040,John,Douglas,Male,New York,New York City,2017-01-03,Operations,Logistics Coordinator,Bachelor,60401,Good,Yes,1990-04-23,2023-01-31
00-69302158,Patricia,Dalton,Female,New York,Buffalo,2020-12-09,Operations,Logistics Coordinator,Bachelor,56595,Good,Yes,1995-08-04,2016-09-20
00-67403166,Daniel,Coleman,Female,New York,Rochester,2020-03-09,HR,Recruiter,High School,60313,Good,Yes,2005-10-16,2016-01-20
00-25015458,Linda,Dominguez,Female,New York,New York City,2016-06-29,Sales,Sales Specialist,Bachelor,77693,Good,No,1990-11-19,2018-01-14
00-30005727,Brent,Wright,Female,New York,Buffalo,2020-11-25,Sales,Sales Representative,Bachelor,58455,Satisfactory,No,1971-03-16,2021-10-11
00-59555330,David,Anderson,Male,New York,New York City,2020-06-29,Operations,Logistics Coordinator,Bachelor,57935,Good,No,2002-08-06,2018-02-21
00-29876811,Elizabeth,Travis,Female,Virginia,Richmond,2019-08-20,Sales,Sales Consultant,PhD,92454,Good,No,1970-04-12,2022-07-24
00-15614174,Logan,Fischer,Male,New York,Buffalo,2018-06-21,Sales,Sales Representative,Bachelor,62335,Good,No,1974-07-12,2019-02-16
00-15354599,Cheyenne,Ball,Female,New York,Rochester,2023-07-16,Sales,Sales Consultant,Master,76512,Satisfactory,No,1981-07-17,2022-03-24
00-38195995,Ronald,Meadows,Male,New York,Buffalo,2022-06-23,Operations,Operations Analyst,Master,57938,Satisfactory,No,1973-04-03,2021-09-22
00-99514287,Phyllis,Manning,Female,New York,New York City,2016-07-03,Marketing,Content Creator,Bachelor,54379,Satisfactory,No,1988-12-02,2015-10-06
00-85146293,Shannon,Walton,Female,Michigan,Warren,2023-11-23,HR,HR Coordinator,Bachelor,64376,Good,No,1986-10-22,2015-09-22
00-64543049,Dana,Cannon,Male,New York,Buffalo,2024-07-21,Customer Service,Customer Service Representative,Bachelor,73343,Satisfactory,Yes,1969-07-01,2016-12-09
00-30743797,Todd,Allen,Male,New York,New York City,2024-06-19,Finance,Financial Analyst,Bachelor,94955,Satisfactory,Yes,1969-07-18,2020-08-17
